Ticker,Avg RSI,Avg ATR,Avg ADX,Avg MACD,Avg Stochastic_K,Avg Stochastic_D,Volatility,P/E Ratio,P/B Ratio,ROE,ROA,Earnings Growth,Revenue Growth,Debt-to-Equity,Sharpe Ratio,Sortino Ratio,Final Score,Risk Profile
EICHERMOT.NS,53.575325323506746,121.67764143170696,27.00501640764583,5.139906350975199,-137.65656726142254,-137.70536922785865,0.1379799114130802,35.316463,7.920051,0.24452,0.13003,0.081,0.122,2.128,0.0223434249507703,0.1256099589682513,8.071677992438946,Risk-Seeking
BOSCHLTD.NS,52.12746019818821,1187.0638194820958,27.758008633966753,23.108094577747565,-163.46782844895176,-163.49801546131016,0.0185449519212581,41.650814,6.995826,0.17151,0.06621,-0.463,0.064,0.247,0.0266784530874844,0.0427380533215239,8.014134198488367,Risk-Seeking
GRASIM.NS,52.1919208837737,43.97279571600115,27.280970382784467,2.472775175927999,-76.17261827529438,-76.22729648977558,0.085644195933702,36.52126,1.8932374,,,-0.244,0.09,100.1,0.0183762788752321,0.0689440013086338,7.966166517527443,Risk-Seeking
JSWSTEEL.NS,52.40066717889893,19.23965602482306,26.736807648277225,1.0959097490497989,-113.99541090271924,-114.0385146245334,0.0293048438025302,69.75574,2.9563358,0.06418,0.04442,-0.841,-0.11,116.515,0.0325898525045703,0.0483737369847458,7.938258808802359,Risk-Seeking
INDUSINDBK.NS,52.73296709211204,41.87071775972983,26.117039822397,1.7575687319592517,-43.26574123238841,-43.280726106944286,0.0301316128930122,11.179757,1.2812414,0.13139,0.01596,-0.397,-0.105,,0.0316133130146375,0.0459052271578438,7.9094293406266,Risk-Seeking
INFY.NS,53.07337592518275,96.51595756968752,24.974380776752355,2.192017603966606,-400.4489963390737,-400.4943345000926,0.0190216749243693,27.4145,735.2802,0.31404,0.15253,0.042,0.037,9.697,0.0320497978235042,0.044022214781941,7.830315313166071,Risk-Seeking
TATASTEEL.NS,51.480094882040405,31.80021041149415,26.332537093971744,0.1490616146112217,-822.4285195953431,-822.5979808584439,0.0313458592305036,60.19457,1.8043839,0.030380001,0.03522,,-0.032,109.814,0.0257777903178938,0.0427575097633002,7.805570422143162,Risk-Seeking
RELIANCE.NS,52.96439666618175,26.613773595673557,24.50292875311646,1.828834889376189,-118.97900604749567,-119.0577059362209,0.0559696672658807,24.907063,2.170888,0.08479,0.03875,-0.048,-0.002,37.464,0.0254822578647431,0.0660181943057537,7.76857738566823,Risk-Seeking
DRREDDY.NS,52.27568326691171,85.54712548080495,24.75748008026427,1.2588644009396472,-376.94338882067865,-377.0054050672505,0.0639359846441213,19.033384,3.637899,0.19273001,0.104040004,-0.153,0.165,15.694,0.0203423364668018,0.0617377045161952,7.724364546718183,Risk-Seeking
VEDL.NS,51.58993261980475,121.79781262134202,24.87466768038092,0.3409532517853538,-710.6322235973298,-710.7122663086328,0.03081726811537,13.122388,5.3077044,0.35532,0.08351,,-0.036,168.974,0.0342428035914674,0.0509458857218973,7.670820113672028,Risk-Seeking
ITC.NS,52.72020215809368,40.01968142609442,23.19129404535455,0.4730898307312542,-459.81474327643554,-459.9469858738829,0.0179368499054679,27.664434,7.5522046,0.28645,0.17,0.018,0.167,0.402,0.0334133017299391,0.0483394185459893,7.616797745819274,Risk-Seeking
HEROMOTOCO.NS,51.33285073498173,504.6069504952284,24.138407018155164,3.5840660177484858,-421.08120532658097,-421.1583775667915,0.0195452968686017,20.52387,4.788251,,,0.471,0.154,3.4,0.0233392645723618,0.0361761909283541,7.572613056091827,Risk-Seeking
IOC.NS,50.54296456415988,27.13178162230053,24.85715803008363,0.0781067542545741,-652.0670680840005,-652.1835928168898,0.0790355363762235,16.04145,0.9298344,0.10087,0.03421,,-0.024,88.031,0.0160771990833114,0.0561225869956529,7.5595505162517265,Risk-Seeking
BPCL.NS,51.17676249721771,38.13718082683467,24.040330402865965,0.2112794027009091,-528.5133988661322,-528.6100827458648,0.0795640198097246,7.92664,1.4627095,0.17705,0.0555,-0.722,-0.003,76.361,0.0187148249584753,0.0645928379048636,7.541194698492393,Risk-Seeking
NTPC.NS,51.0244838869091,46.528451664494895,23.720383023032394,0.1906085253942159,-611.7675727712383,-611.8492779097759,0.0187563250859934,14.7226095,1.9054284,0.13656001,0.04476,0.143,-0.006,139.959,0.0157198923999674,0.0233276040892889,7.500052868950548,Risk-Seeking
